test1_model2_temp.hdf5, -0.03476085822314734, 0.30691730277929086, -20, 0.3825617443616265 
test1_model4_temp.hdf5, -1.8994499682674002, 0.07457637809762974, -20, 0.07604417326798829 
test2_model1_temp.hdf5, 0.020467601702918725, 0.3150268062718191, -20, 0.430357236712513 
test2_model3_temp.hdf5, 0.46431027360173377, 0.3716028397848835, -20, 0.5273783124764915 
test4_model1_temp.hdf5, -1.5814207834163412, 0.16378698878368825, -20, 0.40477961467582235 
test5_model3_temp.hdf5, 0.048603311247433334, 0.284535613532406, -20, 0.4223084633733859 
test5_model4_temp.hdf5, -0.7869076422210239, 0.3163428273788341, -20, 0.4672461884859739 
test1_model1_time.hdf5, -0.5851421900663707, 0.01888071220462051, -20, 0.06879102001933379 
test1_model4_time.hdf5, -1.2057376442493921, 0.15048923313526652, -20, 0.21955481147392208 
test2_model1_time.hdf5, -1.2798414234148838, 0.2407143030589315, -20, 0.2939854576556894 
test2_model3_time.hdf5, 0.15443762710366749, 0.4648352514758738, -20, 0.572425899372313 
test4_model1_time.hdf5, -1.2926436663559224, 0.34443825387430116, -20, 0.42349097460511986 
test5_model3_time.hdf5, 0.3509947640271619, 0.5261955964700544, -20, 0.5404065316659958 
test5_model4_time.hdf5, 0.6703691824757245, 0.5472543170932953, -20, 0.5486953386569948 
